delta,error,evaluable,high_curvature_negative,high_curvature_positive,high_curvature_query_count,high_curvature_separated,high_disagreement_negative,high_disagreement_positive,high_disagreement_query_count,high_disagreement_separated,multiscale_frontier_count,negative_anchor_valid,negative_borda_rank_sum,negative_mode_index,negative_rre,negative_rte,pair_index,point_negative,point_positive,point_query_count,point_separated,positive_anchor_valid,positive_member_index,positive_mode_index,positive_rre,positive_rte,random_negative,random_positive,random_query_count,random_separated,reason,runtime_sec,single_frontier_count,single_frontier_negative,single_frontier_positive,single_frontier_query_count,single_frontier_separated,symmetry_frontier_negative,symmetry_frontier_positive,symmetry_frontier_query_count,symmetry_frontier_separated,symmetry_support
0.025456270202994347,,1,14,5,32,2,15,0,32,0,9,1,0.0,0,2.817501662768093,131.01744171255737,1,8,8,8,0,1,215,23,4.050308796825358,17.51102220270751,12,3,32,0,,1.9571916340000257,9,7,5,8,1,7,5,8,1,9
0.02163366973400116,,1,3,3,32,3,0,0,32,0,24,1,0.0,0,152.86745694258917,180.92179196148365,12,22,23,23,1,1,290,14,2.2281712377293617,4.545930475413385,2,10,32,9,,0.3911318520000009,23,6,22,22,16,6,23,23,17,25
0.02474386617541313,,1,5,9,32,9,4,1,32,1,4,1,1.0,0,89.6604527157495,229.90601721046113,28,0,4,4,4,1,52,1,5.674764410153301,1.7237061488746566,6,9,32,9,,0.31001931299999796,2,0,2,2,2,0,4,4,4,4
0.024714943021535873,,1,4,6,32,4,0,0,32,0,34,1,0.0,0,95.89933608194546,68.79730480044898,29,21,22,22,1,1,397,25,8.79315524764147,18.46558180212153,9,6,32,3,,0.40207206399998086,32,8,10,19,6,10,12,22,7,34
0.02473904751241207,,1,3,5,32,5,0,23,32,23,4,1,0.0,0,178.87041391287534,271.83451621162004,31,2,4,4,2,1,237,15,4.783787015817961,4.38572374115051,5,14,32,12,,0.32058080899997776,4,0,4,4,4,0,4,4,4,4
,,0,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,missing_positive_or_negative_mode,,,,,,,,,,,
0.02546563372015953,,1,8,10,32,6,0,0,32,0,39,1,0.0,0,94.1224181714925,63.38910065660548,39,26,25,26,0,1,175,2,3.4134885290091996,1.8685504149614656,5,6,32,5,,0.40998760799999445,36,9,24,25,16,9,25,26,17,39
0.02474386617541313,,1,3,7,32,6,0,0,32,0,37,1,0.0,0,30.55553110120693,160.68386581869362,74,26,27,27,1,1,96,8,2.4087502182133815,6.586020642921072,10,4,32,2,,0.4134681809999847,38,15,18,26,8,15,19,27,9,37
0.02400164306163788,,1,5,8,32,4,0,0,32,0,30,1,0.0,0,179.04282085242707,241.07715146545652,90,27,30,30,3,1,102,1,3.0242621981714746,3.7387391037139865,6,8,32,4,,0.4380910069999686,30,13,28,30,16,13,28,30,16,35
,,0,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,missing_positive_or_negative_mode,,,,,,,,,,,
,,0,,,,,,,,,,,,,,,104,,,,,,,,,,,,,,missing_positive_or_negative_mode,,,,,,,,,,,
0.02400040253996849,,1,3,4,32,2,0,0,32,0,30,1,0.0,0,121.66784369491818,190.0883058955678,112,24,27,27,3,1,153,3,2.256017864363762,4.169123941749364,4,8,32,5,,0.42114930799999684,30,22,26,27,5,22,26,27,5,32
0.025456270202994347,,1,11,14,32,4,2,3,32,1,98,1,0.0,0,9.850760181857533,36.53975529791285,118,32,32,32,0,1,66,1,1.8005487554455593,4.00312788384295,10,10,32,2,,0.4656182759999865,101,16,24,32,11,17,24,32,10,132
0.02401033416390419,,1,4,11,32,9,0,0,32,0,56,1,0.0,0,8.0054223893744,120.42394704067524,120,23,23,26,0,1,134,24,10.444780263613401,26.110692111651908,5,7,32,5,,0.539709146000007,58,4,23,27,19,4,22,26,18,56
,,0,,,,,,,,,,,,,,,134,,,,,,,,,,,,,,missing_positive_or_negative_mode,,,,,,,,,,,
