pair_index,mode_count,member_count,g17_trace_sha256,cache_trace_sha256,point_artifact_sha256,output_trace_sha256
1,50,307,e231693bb11f2b1e1b5dda797497c8d21a1961050ef516427f272ff7abeaf8c3,67c8dc7cb68366eb980dce619f030ac643cc92dfe9a9ba08a8bc2afb9eb5c632,1f4903da728a04644fbbe37a7d43c79984404052ddb9133b60c5aad205de4260,01008bf2c3eef3eaff32afe10434621ea54ef972589a370f6e568f56c05bc444
12,50,495,30fa0597579b988aff72a98b72188f5f64354d4dc80f9161ea1b0ab099ca7a6c,588fe8a2ec0946d59250a4fbfa30c61b02f394b284ff87894ea81857f73eb2d9,096f9e06298eff6b0cdcdc8f27fcfd6fffa0cc1d1ad01c3ea1a4316204659561,4a7e49bca2391ae170bdf0393a7794daa7230d3e88cf4275425223e6ac028cf2
28,50,284,abc21381b534b1f105c63caaff46cad354d10deee969b6bba4f05eb8e1a3f4e9,6565c4cd4eb2ab7a264e267306973cb9ca60a96c294417ebbd583207e7d49fc2,04e4d9036b02a3ba4c94be045280cdbc486cf29317306c9e315d7fab097fce19,29af6babbb71bfbbe5385c9df4cdc88a3811bfe1b9c0ede486b36f81b3674157
29,50,511,3f74156956d23547e21a446ff8f37e6dd34b49afacf4f6939b5f8cc1cb1b8eed,6c5f9f3d3f4ff47e38303bd2689ee7794d1eb8fc23d51b73076e5ebcd3885441,cdcfd695964ff0d26f6e4a47db4b8b0ac5aa00fd0aa15f30094f9066b6c85ddb,35156dfabeb0c155471cfafcb950d6658d141e73279f2f8da196faa788f9d72e
31,50,384,138be662f78ac64e99e4f8c65f8f04fdc154ba048b74f9b80d796d4aef035cf5,ddd00de0971fe98faccfb71c146c5a21b9145b5f112a21f5f8722307c4c1f44c,e901d6fc1fee5f117f3d695bc897ff9d20181b0421a09246d2734b1a827e99e7,4cb8c40f5710a110c60569d436acd3f09ddc7359eee321312ef8212774a1043e
36,50,301,c3f6abd9dfc409e59dc3636052406179c9c48e35b93869786536f6b8a70f57e0,6dd66479ec81556e3d06bb663e90bb9050dcb0f7d8090eb057631ace3b7bbf34,d682a7aa7ca5eef3710688b3a2b29b30a0a5a6425e7fa39c745908c690fc7aa5,30821a73f11e51c130acf90bb047281a57b186fe363bc7a9ca16d35c5c2eef16
39,50,560,d1b30872c1412edb6f7800a74d593b52752dafa0a0dc631e7b1b0aa4a2e53a5d,cb9b8988cfa2d0fba7f0328e10c6240c0b0b4c22d765fb94f0408628e2df7602,9379b5a7cdee8b3abaab7844447177fec2494ea2db339ba2799ad425c550766a,787778ffc0b618aa379965aa5db659daf1d76e0edf2217fc5b215e208eed31de
74,50,284,637fc26ff5efe7eed557c0deda24d6ba8bb63e83aa84ba0451bbc2fc62f23a01,0e43a62091b75ae17e39d1389126104f9de3298ff84168918ecf39e73a82b26a,a68d0960170d5f3d2247b23a5fb6bedd5d3600f864bd77a6fecb1813e54e18fb,13ad994266563187a71e3a5d0e429be8385d1fa50b90c5587e7fe9ba95d83d9e
90,50,378,be2e50962595352e963cdeaae21663483ab348e82089d49525d30faa9006db51,99324779a32b01a1c00d19414c235227439d65eb47ac20005583c1d96fa257e6,e5bac728a044e4048dbf76cd505360ad7e8a8fcbb2526267f4830993f7eb75d5,e68f2ef88c91ad1006bba3385091b06e783cfbb1510b2a0e5ae7f3fa491fd5e0
98,50,448,e7b6c65cea55d29cc33bd2f38ca54d7480cac770b55a03dd572f9bc5ac512bd3,06db44e2c3361cb146f2fd1f96ee4aa4826a9004b6f5a797716fe6dc25673c8e,e56b127f54b94b5b5efc80def3ca447566ed3b7880c08542415e57d3b62faebf,d1beb546c7161a2aa1b56b704847d309736f9d9e25e89b02ad52e82ef103c323
104,50,235,a2f53d5b72ac8fa965aeb38020b66103ffb962e4580eab0142779a94ccacf4ba,da51908a5ccb3be4fe2a45eaeb8d8ef979f8d834b284d374c708b1faa34073af,b8ab6cdddd2530863df032cbd41125bc0eee73726e0fd02bebd04659dbd6502c,fa2d6fc7abd1039d17b4b2672731b4d5c3e12bffd5cfe7cebe0c7fd0b8f2bd6c
112,50,445,96148a9da9348f87345fb5ef8f85b62dffb8d231e5d1be6c51409d5ba9e6c366,5efc66d1580f43d937d5f84916f2200b1c99c3ecf596e7ae134c5f68dfb964d8,c046505cfd3448f36f292d14da9c9b914e27c4bd5422b887504ac48154de87a8,d8b7ecf9bb1bb1d48a5123a0550210b31e531273f6ee314522cbed4ca07ebc11
118,50,477,ef6f9976517cf42fccee7beed6d09a6f322a3f0fcd1ed20067b427c47c5c1655,293776e7fd36a278f38ed024b2b1d5cee9d5beff914407e83b38da44149f75cb,84609c6a112034dd8c23697a3a43098bbbc031f52cbf2225dbf5500baae74a8a,df45bf1735da2cf0a7f4512004d54814cd74bb57c62fa9942702b08af09ac632
120,50,219,a72ad03b1c9435691821eb08f8a573d094e784b883059da773cb40c46a97ec0c,ef96fbda4cb45e47808701e8462b81b09d673245b4fb4763956e061798c0eaf1,8877b090213b5ed512de01b0f188cc2a3e24ce7d8f734e267d2c88cec8a25b38,359fc00f558de4f8a4cc0be98952312863f61b8aa36d19dfb2cd5c4e24f226d2
134,50,231,5d77dca60b79a26c74c0c5a3654a08fc60008a05e8d0f5bf04b1324c71f6247a,edb602c04a5f91b52719344ccf78978d919e9ba780114fc2253eb0cfc088596f,0fd05a2f46fc724ef8166b79f29ddff2301a67f60984b41c86ed4a74cdaf9de8,112ad77140a085b68942e61de3aed44b891086b49f6f729fdb72850f3883078f
138,50,324,c106439673277d6126d2e296752179f8e293e6072b6043c05160f79703aefb24,ec9afa79e7fd74aa950c50ea18d86a3b8ac6c97c108ea442df99017bc4d4b2c6,8a73d62178db1076102bff31e1e9e5bf679a8512e7f02940975b45ad21051cdd,549f39d4994b35d398b8292985565495d8f9d4f3490e3bb481b4c1503cfe3527
139,50,489,d1a562d9d6186d0185662fd0110e26bdb722a02f7109cf73fb7891e76287fae5,e5ef21866c71ac48279488f154077c24bb49e32fd476ee0d17b9956a0d53ccf5,95f7e4c41ec3126f52e8e8172561246749415404d6e59e2f4dec45b06ff45290,42c0ca80e1ea1dbc746cc9bc111f20504cddd7d9cddddb66dffa7202f6b51c4e
151,50,546,42755362fd408015ff6e72bc5d965f97469512cdcdd9c29f2da4375ce75a19dc,315b30e3647251197252364da032bdc014d02f09c429469eee2ce23a8154e28e,5e423e433068c7d95ec89f7b93529312f812ca3a2ec3fa828c44430b871a7958,b88d4ef04d75ef3b6cd2d5370d63d6b79408ce82801dd13f783489467272ce7f
155,50,220,f29d89688bc0cb6cf3fd2c269f7ef75cbc4d47497ff339caa388e9401b5af3d7,a51053f78b6217078090ffa04e9257681b7fe9e1604bc002ce7f07707f543807,617e10eb79f0737decf20d29b26083439fbb5069107585ba0a9005c49daee78b,3e41c5c6ed15ba858ff8a6761fad743268f659ad2cf94f12e06aaf3be64c2b44
166,50,490,f43885060ba6ac7e622ee91b61ea9e236afc2d7508541edde4eb0a9b2f0f44b3,c73fc7475f4b136d5352b46a17ec970cba7fb80946ae9f3cb66ad30bfebcf49b,483d331cc7f93841e392a98555df1c0156af1859bc7cc3797a218cb38097579a,99f43061fb8cc1b6430f5bff24d8187db4089f236f025eeb71435282bc758189
180,50,420,17826fa73c40152a15e1b9fa9ba3f06d2ed3cb409c44612ebed9d6dbe1681c73,85b2a2e2849cc39e7ad794e00bafafa5c374c2ebfe6eff24854a0362df0e4252,3133a6ef79154cd29a731f1fe52363b4c1e5cab77299ab1d0c6886e17f2ab12c,641a21671dcdb3a003a68d55d65b1389e8edfc8879b36288f3efca9f8b99d89b
182,50,393,1f2eb2b6189620010997957de4322eb22f7c97490d763dda8c9bc2f4397ecdce,658726f66e86ee52bb7f03bc690ffd624cb0678ef46c0c3724394c2b46df94bd,d2cc88061de6df0f2e9171ee4587e1a0136f9258f6a68ef026746634998a2bcc,02119a7b32ed9d754348b7c03c098a0e8badb8c3e1c57e4337ad80abfc64ce55
198,50,331,4a1cdccf4d5a9739e9e79c33ebcd294816e617fef230d398993ea8784f3c15ea,3c9e39744df0521a471cf428d4f5a9ee59a5eb0ae8dec806ac4bc228a0b6ea75,16d0a5ea1bad931b6dbb117f5c048c0b160d15152567a315a2b8caf172730400,b06a7f12bcc99e0493337493d58631437e6e8c8b170b146c60478870d906d947
224,50,405,489d89dc6aed0b000cd4bfe6441453239d2b3df15a9bd1c0421ccdc93aefa6a3,a08805bfc9c4456fccce6cbc9f19749a9310415633112258bf112d846a0d17cc,b60ebf71aa3496a63410f0e03f316d0de6732d6e268db814421f9718cc495dec,54617ea026be2e33380204c8ccf491b693d5a1c0df9331a818ece9fb4f9d398f
225,50,394,571526e32d6708db28053e13a3ed8c8369accfe340cdb2b7894992efbe19ed14,5d9df440a4604f888d011a29a84d974f1b31a00f0613738d404b251eadbbb67e,8334354dc1a47b9a72e2b57e33d59073ab2f6019c7296c98228769a41fd3bac3,983e1c6666af1b6d3164ea9cc1806fbadecd81c4451e27ea4ef47118d21026ea
231,50,301,e5fe0c8f64ba31f17822e5a4e6eb6e107fb388362a1048d9ccde9b912aa057a2,8e4619364703128edf8a125abca6d4ea1455abc9eddfb1f3a25a04aa9949b276,85daaabee89feeaad3e1d8d0404b4254e33d0fe8326192bc3b101b93b16989eb,523213d9c7a4169987b8ac9a519dd912b33b5973507f6eb18057068da57ff8ea
242,50,410,291917e3dfb4eb26c6f9bd46eb0e053ae0989b263c723d22894974b726217d73,482cd5b7777ba6668051ba9df7f34559f00b3b71f20c04707d168629d1e4fafe,a5a07639062ece510501df079a6234f3a026601bd80cf6c0fa0133e87fa1a128,9450ad2ceb716ecd6aa320fe4fb530e09c40d4dc42dbc0b39c068b966f875e67
243,50,214,0c8d120c0f9866f6daa46c44dfacbb9f8d23ee2a4be5c5958857b1448e138daa,9f14713e0feb0d7764f12603188a47eaa83cb6281a16b5a803d0cae63c1dfe62,a074940b57ffd5a92f33b0ec1e12f0222fa6063f935552e281fd5d9879420ab4,ce3f0485f4a65bc652f32727f6574c6ab9de77376de70875883a46c53bc5d45e
